"alpha_hat","beta_1_hat","beta_2_hat","alpha_se","beta_1_se","beta_2_se","method","n_obs","p_c","alpha","beta_1","beta_2","model","index"
1.21655608641732,0.382132440724849,-0.34094893361482,0.203636738470227,0.0900212920975001,0.116438173479566,"pp",200,0.8,1,0.5,-0.7,"logit",8
1.1080607711581,0.639131696666841,-0.398387448607034,0.280300038990095,0.202462944419362,0.174841221266299,"iv",200,0.8,1,0.5,-0.7,"logit",8
0.663809668690114,0.256987375037156,-0.413391989892267,0.183129998657656,0.0830727691587291,0.0937306793974565,"itt",200,0.8,1,0.5,-0.7,"logit",9
1.01355678050297,0.327327729496038,-0.496817570510751,0.194129623341775,0.0851151773132986,0.10174218301916,"pp",200,0.8,1,0.5,-0.7,"logit",9
0.888471701252758,0.380632229550562,-0.529980863964147,0.222264411494793,0.103286140195221,0.120079140712267,"iv",200,0.8,1,0.5,-0.7,"logit",9
0.617256648924953,0.278934770255816,-0.49126561639396,0.18369612684698,0.107999944374061,0.0969459708627504,"itt",200,0.8,1,0.5,-0.7,"logit",10
1.18737674475399,0.371599638973354,-0.716689055151081,0.204986632925353,0.135023342480994,0.101100178205171,"pp",200,0.8,1,0.5,-0.7,"logit",10
1.1304170393168,0.440636774582148,-1.01116354980605,0.307040572094342,0.192343943742762,0.237111595718572,"iv",200,0.8,1,0.5,-0.7,"logit",10
0.450014139461981,0.266797667887618,-0.526605131769733,0.176951839010396,0.103170232312113,0.122439825796472,"itt",200,0.8,1,0.5,-0.7,"logit",11
1.00771425934138,0.442612155108464,-0.762946233700823,0.196285782908309,0.113619891555723,0.0957012289930294,"pp",200,0.8,1,0.5,-0.7,"logit",11
0.780485645736849,0.65349669990519,-1.10187445617846,0.283096609891622,0.252073659086734,0.338628225934275,"iv",200,0.8,1,0.5,-0.7,"logit",11
0.59676652789366,0.343222655679199,-0.480502052417498,0.180649940354754,0.103806363418202,0.101148629957858,"itt",200,0.8,1,0.5,-0.7,"logit",12
1.25395038197227,0.389445512415384,-0.795622023454849,0.199845504381433,0.115908990309212,0.107821443340225,"pp",200,0.8,1,0.5,-0.7,"logit",12
1.11729715941431,0.419691322133197,-1.19070485230096,0.290921384368589,0.2047632244484,0.329765593186919,"iv",200,0.8,1,0.5,-0.7,"logit",12
0.919341886623917,0.331477529974509,-0.411414970430726,0.204232952511063,0.103163449064822,0.10510871878398,"itt",200,0.8,1,0.5,-0.7,"logit",13
1.3815263979512,0.429065450524747,-0.570399374386096,0.206190093226655,0.103021070572066,0.10314541139099,"pp",200,0.8,1,0.5,-0.7,"logit",13
1.35356550083786,0.572349469101399,-0.721546337649873,0.250161873094417,0.179109320969632,0.172713353990745,"iv",200,0.8,1,0.5,-0.7,"logit",13
0.536979405257143,0.343234304539274,-0.619889571203031,0.179648280971127,0.0935180623061728,0.0834980272860219,"itt",200,0.8,1,0.5,-0.7,"logit",14
1.01784434827217,0.405660361059273,-0.833575016219245,0.186560167421468,0.0974146574094147,0.0948343373837569,"pp",200,0.8,1,0.5,-0.7,"logit",14
0.857169794677935,0.452191009904859,-1.05797029232325,0.249744724535911,0.143257749597527,0.188048918816496,"iv",200,0.8,1,0.5,-0.7,"logit",14
0.518187792030019,0.516808035517817,-0.473053328350103,0.176893812338655,0.0873106434875217,0.107214049613734,"itt",200,0.8,1,0.5,-0.7,"logit",15
0.900461508314508,0.510505635485756,-0.51906329838761,0.192606093697578,0.0950244702222868,0.116324701242923,"pp",200,0.8,1,0.5,-0.7,"logit",15
0.713013702889684,0.515080399034508,-0.503609055157037,0.222983194894574,0.114624309792206,0.125623858014948,"iv",200,0.8,1,0.5,-0.7,"logit",15
0.695072234031508,0.205585623342071,-0.542742573005442,0.1797154545278,0.10096576967168,0.106698073249076,"itt",200,0.8,1,0.5,-0.7,"logit",16
1.17385338042221,0.260693129435669,-0.562626020625135,0.20464160951387,0.114729632507646,0.120175680241499,"pp",200,0.8,1,0.5,-0.7,"logit",16
0.975462090711745,0.249694205846411,-0.562571827284355,0.232837929007666,0.126173909952901,0.140096049791036,"iv",200,0.8,1,0.5,-0.7,"logit",16
0.669324623525206,0.193815151399541,-0.27328232747597,0.175833508281026,0.0876801954485011,0.0881955235768377,"itt",200,0.8,1,0.5,-0.7,"logit",17
